user_question,label_1
Сколько пользователей с правами просмотра я могу добавить на канал?,УПРАВЛЕНИЕ АККАУНТОМ
Я могу назначить только одного пользователя с правами просмотра или их может быть несколько?,УПРАВЛЕНИЕ АККАУНТОМ
Что доступно пользователю с ограниченными провами просмотра?,УПРАВЛЕНИЕ АККАУНТОМ
"Я добавил пользователя с органиченными правами просмотра, что он может делать на моем канале?",УПРАВЛЕНИЕ АККАУНТОМ
Сколько я могу добавить на канал пользователей с ограниченными правами просмотра?,УПРАВЛЕНИЕ АККАУНТОМ
Сколько всего на одном канале может быть пользователей с ограниченными правами просмотра?,УПРАВЛЕНИЕ АККАУНТОМ
"Хочу назначить модератора для работы с комментариями на свой канал, какую роль мне выбирать для этого?",УПРАВЛЕНИЕ АККАУНТОМ
"Какие права выдавать пользователю, если мне нужно, чтобы он модерировал комментарии у меня на канале?",УПРАВЛЕНИЕ АККАУНТОМ
Работа с комментариями доступна только для роли модератор или для других тоже?,УПРАВЛЕНИЕ АККАУНТОМ
Как будут отображаться действия редакторов на моем канале?,УПРАВЛЕНИЕ АККАУНТОМ
"Будет ли видно зрителям, что комментарий оставил модератор моего канала или будет отображаться, будто я написал?",УПРАВЛЕНИЕ АККАУНТОМ
"Что за раздел shorts, это такие видео?",ВИДЕО
"Почему некоторые видео называются ""shorts"", что это?",ВИДЕО
"Иногда попадаются в ленте ролики, называются ""SHORTS"", что это означает?",ВИДЕО
Какого формата должны быть шортс?,ВИДЕО
"Хочу загрузить шортс, какие у вас требования к таким видео?",ВИДЕО
"Я выложил shorts на 20 секунд, а можно длительность меньше?",ВИДЕО
Насколько коротким может быть видео shorts?,ВИДЕО
"Хочу загрузить shorts, как это сделать?",ВИДЕО
Как грузить ролики шортс на Rutube?,ВИДЕО
"Как загрузить видео, чтобы оно было ""shorts""?",ВИДЕО
"На ютубе смотрел shorts, где у вас такие посмотреть?",ВИДЕО
Где у вас раздел с шортс?,ВИДЕО
"Не могу найти, где посмотреть шортсы?",ВИДЕО
Как загрузить мой shorts в подборку на главной странице?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
Как именно выбираются ролики для раздела shorts?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
Как попасть в раздел shorts?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
"Я загрузил ролик шортс, он попадет в подборку на главной?",СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
"Нужно ли мне в описании и названии писать ""shorts"", чтобы попасть в подборку?",ВИДЕО
"Хочу загрузить свои шортс в подборку, обязательно ли мне для этого ставить хэштег #Shorts?",ВИДЕО
"Что мне сделать, чтобы мои шортс попадали на главную?",СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
"Мои шортс не попадают в раздел, что мне сделать, чтобы они туда попали?",СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
"Как у вас продвигать shorts, чтобы они попали в подборку на главной странице?",СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
А сколько всего видео может быть в разделе Shorts на главной?,ВИДЕО
Сколько максимум роликов может попасть в подборку Shorts?,ВИДЕО
"Почему одни и те же видео в разделе Shorts и не обновляются, хотя я их уже все посмотрел?",ВИДЕО
Как обновить подборку роликов в Shorts?,ВИДЕО
"Загрузил к вам шортс, где мне его теперь найти?",ВИДЕО
"Не могу найти свой ролик shorts, помогите",ВИДЕО
Возможно ли монетизировать ролики Shorts?,МОНЕТИЗАЦИЯ
"Я публикую на канале ролики shorts, будет ли на них монетизация?",МОНЕТИЗАЦИЯ
"А как включить shorts, чтобы он был горизонтально?",ВИДЕО
"Мне не удобно смотреть свои шортс вертикально, как переключиться на горизонтальный плеер?",ВИДЕО
А шортсы всегда будут вертикально отображаться или можно их как-то свернуть их в горизонтальный плеер?,ВИДЕО
Что за Smart TV?,ОТСУТСТВУЕТ
"Я обычно смотрю рутуб через планшет, но тут увидел у вас и хотел спросить, что за Smart TV указаны на сайте?",ОТСУТСТВУЕТ
"Увидел на сайте раздел ""Smart TV"" - это что такое?",ОТСУТСТВУЕТ
Пойдет ли на мой телевизор ваше приложение?,ДОСТУП К RUTUBE
"Купил недавно приставку, еще не разобрался, как-то можно скачать на нее приложение Рутуб?",ДОСТУП К RUTUBE
Можно ли скачать Рутуб детям на телевизор?,ПРЕДЛОЖЕНИЯ
"Мой сын любит смотреть мультики у вас, хотела ему на телевизоре их включать, есть ли увас приложение? У меня приставка Xiaomi.",ПРЕДЛОЖЕНИЯ
"Недавно купил смарт тв, откуда скачать ваше приложение можно?",ДОСТУП К RUTUBE
"Где искать ваше приложение на телевизоре, не понимаю?",ДОСТУП К RUTUBE
Помогите скачать Rutub на телевизор.,ДОСТУП К RUTUBE
"Не нашел ваше приложение в магазине, как его можно еще скачать?",ДОСТУП К RUTUBE
Что делать если приложения рутуб нет в магазине? Откуда еще скачать?,ДОСТУП К RUTUBE
"Не нашел Рутуб в приложениях, как его скачать на Samsung?",ДОСТУП К RUTUBE
"У меня телевизор Samsung 2015 года, не могу скачать ваше приложение, помогите",ДОСТУП К RUTUBE
"Почему-то в магазине LG нет приложения Rutube, можно его как-то с вашего сайта скачать?",ДОСТУП К RUTUBE
"Мне сказали мой телевизор больше не поддерживается, хотя модель новая и прекрасно работает. Как-то можно ваше приложение поставить с файла?",ДОСТУП К RUTUBE
"Что делать, если приложения Rutub нет в магазине и производитель больше не поддерживает модель телевизора?",ДОСТУП К RUTUBE
"Отправили в командировку за границу, ваше приложение везде доступно?",ДОСТУП К RUTUBE
"Поехали в отпуск в Турцию, тут купили приставку и хотим поставить RUTUBE, это получится?",ДОСТУП К RUTUBE
"Где найти ролики, которые я посмотрел?",УПРАВЛЕНИЕ АККАУНТОМ
"Куда сохраняется история, что я смотрел?",УПРАВЛЕНИЕ АККАУНТОМ
Как мне удалить видео из истории?,УПРАВЛЕНИЕ АККАУНТОМ
Можно ли очистить список просмотренного на аккаунте?,УПРАВЛЕНИЕ АККАУНТОМ
Как удалить историю из поиска?,ПОИСК
Можно ли удалить историю в поиске?,ПОИСК
"Не могу найти раздел ""Мое"", помогите",ДОСТУП К RUTUBE
"Где найти этот раздел моё? все перетыкала уже, в упор не вижу",ДОСТУП К RUTUBE
"А можно ли не обновлять ваш рутубе? У меня старый телевизор, работает хорошо, меня все устраивает",ДОСТУП К RUTUBE
"У меня старая модель ТВ, будет ли ваше приложение поддерживаться, если его не обновлять?",ДОСТУП К RUTUBE
"А на старом телевизоре можно вашем приложением пользоваться? Я вроде скачал, все нормально, только оно не обновляется…",ДОСТУП К RUTUBE
Как сделать чтобы ролики сами не проигрывались?,ПРЕДЛОЖЕНИЯ
Не пойму как убрать автовоспроизведение?,ПРЕДЛОЖЕНИЯ
"У нас дома два телевизора на кухне и в комнате, я могу их все подключить к своему аккаунту?",УПРАВЛЕНИЕ АККАУНТОМ
"Если я сейчас привяжу телевизор, я потом смогу еще добавить новый?",УПРАВЛЕНИЕ АККАУНТОМ
Телевизор можно только один привязать к аккаунту?,УПРАВЛЕНИЕ АККАУНТОМ
"QR ваш не сканируется, как мне войти?",УПРАВЛЕНИЕ АККАУНТОМ
"Навожу на куар код, ничего не происходит! Как авторизоваться в телевизоре??",УПРАВЛЕНИЕ АККАУНТОМ
"У меня ничего не открылось, хотя код отсканировала, помогите зарегистрироваться",УПРАВЛЕНИЕ АККАУНТОМ
"Как зайти на телевизоре? сканирую код, он не работает",УПРАВЛЕНИЕ АККАУНТОМ
"Что ни включи все пишет, чтобы смотрел на сайте, какой смысл в приложении тогда?",ВИДЕО
"Включаю видео, а там ""контент недоступен"" и предлагает идти на сайт",ВИДЕО
Не могу посмотреть СТС!,ТРАНСЛЯЦИЯ
"Как смотреть эфир ренТВ, почему-то недоступно?",ТРАНСЛЯЦИЯ
"Включил фильм на телевизоре, а там только HD, где 4К у вас?",ПРЕДЛОЖЕНИЯ
Можно ли смотреть 2к-4к с телевизора?,ПРЕДЛОЖЕНИЯ
Есть ли у вас управление клавишами?,ВИДЕО
"Горячии клавиши у вас вроде работают как в ютубе, а есть список всех команд?",ВИДЕО
"Не смог найти, как управлять с клавиатуры видео",ВИДЕО
Что за трансляции у вас на сайте?,ТРАНСЛЯЦИЯ
"Увидел на рутубе трансляции, это тоже что и видео?",ТРАНСЛЯЦИЯ
А стримить - это как?,ТРАНСЛЯЦИЯ
Я смогу стримить в приложении?,ТРАНСЛЯЦИЯ
А с телефона можно стримить на рутуб?,ТРАНСЛЯЦИЯ
"Скачала ваше приложение, хотела записать стрим как гуляю по городу - у вас это можно в приложении?",ТРАНСЛЯЦИЯ
На Rutube любой может стримить?,ТРАНСЛЯЦИЯ
Кому можно проводить трансляции на вашем сайте?,ТРАНСЛЯЦИЯ
Я смогу стримить на Рутуб?,ТРАНСЛЯЦИЯ
"У нас планируется мероприятие, хотели запустить по нему сразу несколько прямых трансляций, такое возможно у вас?",ТРАНСЛЯЦИЯ
Могу я запустить несколько стримов?,ТРАНСЛЯЦИЯ
А сколько трансляций можно запустить одновременно?,ТРАНСЛЯЦИЯ
"Я сегодня буду стримить на своем ютуб канале, хотел запустить сразу на рутуб тоже, так можно?",ТРАНСЛЯЦИЯ
"Если я уже стримлю через ВК, я смогу на Рутуб запустить стрим?",ТРАНСЛЯЦИЯ
На моих стримах будет реклама?,ТРАНСЛЯЦИЯ
Вы показываете рекламу на трансляциях?,ТРАНСЛЯЦИЯ
"А реклама будет, если я запущу стрим?",ТРАНСЛЯЦИЯ
Есть ли у вас монетизация для стримов?,МОНЕТИЗАЦИЯ
Мои трансляции на Rutube будут монетизироваться? ,МОНЕТИЗАЦИЯ
"Я обычно стримлю на твиче, захотел попробовать у вас. Я смогу монетизировать свои трансляции?",МОНЕТИЗАЦИЯ
Планирую создать у вас канал и проводить трансляции. За них можно будет получать доход или вы только видео монетизируете?,МОНЕТИЗАЦИЯ
Какие у вас правила для проведения стримов?,МОДЕРАЦИЯ
"На рутуб есть какие-то ограничения для трансляций, что нельзя делать и показывать например?",МОДЕРАЦИЯ
"Есть ли у вас запреты на трансляциях, за что забанить могут?",МОДЕРАЦИЯ
Приватная трансляция это как?,ТРАНСЛЯЦИЯ
Чем отличается приватная трансляция от обычной?,ТРАНСЛЯЦИЯ
"Увидел в настройках трансляции ""доступ по ссылке"", что это такое?",ТРАНСЛЯЦИЯ
"Хочу провести приватную трансляцию, будет ли ее видно на моем канале для подписчиков?",ТРАНСЛЯЦИЯ
"А трансляцию ""по ссылке"" как-то можно увидеть на моем канале?",ТРАНСЛЯЦИЯ
Я могу встроить трансляцию на свой сайт?,ВИДЕО
"Планируем проводить стрим через Rutube и разместить плеер на главной нашего сайта, это можно сделать?",ВИДЕО
"Есть ли у вас функция, чтобы встроить стрим на сайт?",ВИДЕО
"Я хочу провести трансляцию чтобы ее не видно было на рутубе, а разместить ее на сайте для своих платных подписчиков, так получится сделать?",ВИДЕО
"Если я провожу приватную трансляцию, ее можно встроить на другой сайт?",ВИДЕО
На Rutub доступно встраивание приватных стримов на другие сайты?,ВИДЕО
Какие у вас требования к потоку?,ТРАНСЛЯЦИЯ
Какой битрейт выставлять для трансляции?,ТРАНСЛЯЦИЯ
Есть ли на Рутуб стримы в 60fps?,ТРАНСЛЯЦИЯ
А трансляции на рутубе только 30 фпс?,ТРАНСЛЯЦИЯ
Я смогу стримить в 60fps?,ТРАНСЛЯЦИЯ
"Не будет проблем с трансляцией, если я подам 60фпс?",ТРАНСЛЯЦИЯ
"Недавно зарегистрировался у вас, планирую проводить стримы с подписчиками из ТГ. Хотел узнать в 60 кадов получится стримить?",ТРАНСЛЯЦИЯ
Если я стримил в 60 кадров на записи тоже будет 60?,ТРАНСЛЯЦИЯ
"Сохранится ли качество в записи, если у меня трансляция в 60fps шла?",ТРАНСЛЯЦИЯ
Вы поддерживаете 60 кадров на записи трансляции?,ТРАНСЛЯЦИЯ
"Мне подписчики заказали фильм посмотреть, у вас можно будет провести такой стрим с просмотром фильма?",МОДЕРАЦИЯ
"Можно ли на рутубе смотреть фильмы на трансляциях со зрителями, чтобы мы могли онлайн обсуждать и комментировать?",МОДЕРАЦИЯ
Могу ли я включать музыку у себя на стриме?,МОДЕРАЦИЯ
Я могу зрителям включать музыку на фон когда отхожу во время трансляции?,МОДЕРАЦИЯ
А ничего если я на стриме буду пить пиво?,МОДЕРАЦИЯ
"Я буду стримить свой ДР и отмечать с подписчиками, естественно буду выпивать там шампанское или вино, тортик будет)) у вас можно такое?",МОДЕРАЦИЯ
Если я парю во время трансляии не забаните?),МОДЕРАЦИЯ
Как сделать пометку на трансляции что она 18+?,ТРАНСЛЯЦИЯ
"Можно ли провести трансляцию ""для взрослых"", чтобы от 18 лет только была?",ТРАНСЛЯЦИЯ
На Rutube есть тег 18+ для стримов?,ТРАНСЛЯЦИЯ
Какие у вас условия для 18+ трансляций?,МОДЕРАЦИЯ
В каком случае мне нужно отметить свой стрим как 18+?,МОДЕРАЦИЯ
Хочу попробовать стримить на Rutube и хотел узнать сразу как они у вас продвигаются?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
Что-то мои трансляции никто не смотрит… у вас хоть какое-то продвижение есть? Как набрать зрителей?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
Есть ли смысл стримить на Рутуб? Для стримов работает продвижение?,СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА
"Я наченающий блогер, хочу стать популярним стримером у вас, но пока незнаю что тут как. Расскажите пж куда нажать чтобы трансляцию сделать?))) спс",ТРАНСЛЯЦИЯ
Как завести трансляцию на Рутубе?,ТРАНСЛЯЦИЯ
Стримы с доступом только по ссылке - у вас такое есть?,ТРАНСЛЯЦИЯ
Я могу провести приватную трансляцию?,ТРАНСЛЯЦИЯ
"Хочу застримить так чтобы не видно было на канале и только по ссылке можно посмотреть, как мне сделать такой стрим?",ТРАНСЛЯЦИЯ
"Как мне сделать, чтобы мою трансляцию было не видно на канале?",ТРАНСЛЯЦИЯ
"Я хочу потестировать настройки для трансляции и мне не надо, чтобы ее видно было, можно как-то скрытый запуск сделать?",ТРАНСЛЯЦИЯ
Если я проводил скрытую трансляцию она сохранится в мои видео?,ТРАНСЛЯЦИЯ
Останется ли запись приватного стрима у меня на канале?,ТРАНСЛЯЦИЯ
"Сколько у вас можно стримить, какие лимиты?",ТРАНСЛЯЦИЯ
Сколько часов может быть трансляция на Рутубе?,ТРАНСЛЯЦИЯ
"У вас можно целый день стримить? А запись сколько сохранится, если стрим был длинный?",ТРАНСЛЯЦИЯ
"Не всегда успеваю к началу любимой передачи и стало интересно, а можно перемотать, чтобы сначала посмотреть?",ТРАНСЛЯЦИЯ
У вас работает перемотка на трансляциях?,ТРАНСЛЯЦИЯ
А реклама будет на трансляции?,ТРАНСЛЯЦИЯ
На рутуб есть реклама в эфире?,ТРАНСЛЯЦИЯ
Подскажите какую программу надо чтобы стримить?,ТРАНСЛЯЦИЯ
Через что у вас можно стримить?,ТРАНСЛЯЦИЯ
"Я иногда делаю нарезки с трансляций, скажите я могу у вас скачать свою трансляцию после завершения?",ПРЕДЛОЖЕНИЯ
На Rutube доступно скачивание своих стримов в записи?,ПРЕДЛОЖЕНИЯ
"Трансляция которую я смотрел уже закончилась, как я ее могу посмотреть снова?",ТРАНСЛЯЦИЯ
У трансляции поменяется ссылка после окончания?,ТРАНСЛЯЦИЯ
"Случайно запустил закрытую трансляцию и не заметил, я могу открыть хотя бы ее запись теперь?",ВИДЕО
Приватную запись трансляции можно сделать доступной для всех?,ВИДЕО
Возможно ли поменять настройки приватности потом у записи трансляции?,ВИДЕО
"Подскажите, какие настройки надо выставлять в OBS?",ТРАНСЛЯЦИЯ
"Я раньше никогда не стримил, не очень понимаю как все настроить. Помогите пожалуйста)",ТРАНСЛЯЦИЯ
Посоветуйте как лучше настроить vMix?,ТРАНСЛЯЦИЯ
У вас есть инфа как настроить vMix?,ТРАНСЛЯЦИЯ
"Не могу никак разобраться, какие настройки выставлять в vMix, не могли бы вы помочь?",ТРАНСЛЯЦИЯ
Что значит эмбед?,ВИДЕО
"Что дает ""эмбедирование""?",ВИДЕО
Встраивание это что?,ВИДЕО
"Хотим разместить ваш плеер на нашем сайте, расскажите подробнее как это сделать?",ВИДЕО
А можно видео с рутуба на другом сайте вставить чтобы плеером было красиво?,ВИДЕО
А какие-нибудь настройки есть для встраиваемых видео?,ВИДЕО
У вас поддерживаются настройки при встраивании видео?,ВИДЕО
Что можно настроить у эмбедов?,ВИДЕО
Какие параметры можно поменять у встроенного плеера?,ВИДЕО
"А можно будет поменять внешний вид у встроенного видео? Например, размер поменять, можно?",ВИДЕО
"Я записываю мастерклассы для своих учеников и размещаю их на сайте. Мне важно, чтобы видео были недоступны всем и только на сайте их было видно, кому дам страницу. Как мне правильно добавить скрытые видео на свой сайт?",ВИДЕО
Как добавить к себе на сайт приватное видео?,ВИДЕО
"Я пока еще новичок, только зарегистрировался на Рутубе) не поделитесь как лучше оформить канал?",УПРАВЛЕНИЕ АККАУНТОМ
"Можете дать рекомендации, с чего начать оформление канала?",УПРАВЛЕНИЕ АККАУНТОМ
"Может у вас есть советы, как настроить канал?",УПРАВЛЕНИЕ АККАУНТОМ
"Хочу набрать миллион подписчиков на Рутубе :) посоветуйте, какую мне обложку выбрать на видео чтобы зрителям нравилось?",ВИДЕО
"Есть ли у вас наставления для начинающих блогеров, как лучше оформлять видео и обложки, чтобы продвигаться на Rutube?",ВИДЕО
Какие требования к оформлению контента на вашей платформе для продвижения?,ВИДЕО
Какие преимущества дает верификация?,УПРАВЛЕНИЕ АККАУНТОМ
Что мне даст статус официального канала?,УПРАВЛЕНИЕ АККАУНТОМ
А кто может верифецироваться на Rutub?,УПРАВЛЕНИЕ АККАУНТОМ
Для кого доступен официальный канал на рутубе?,УПРАВЛЕНИЕ АККАУНТОМ
А на верификацию только организации могут подать?,УПРАВЛЕНИЕ АККАУНТОМ
А подать заявку можно любому?,УПРАВЛЕНИЕ АККАУНТОМ
Как мне получить галочку на Рутуб? На Ютубе у меня 1000 подписчиков,УПРАВЛЕНИЕ АККАУНТОМ
Как мне пройти верефикацию?,УПРАВЛЕНИЕ АККАУНТОМ
Как отправить вам заявку на верификацию?,УПРАВЛЕНИЕ АККАУНТОМ
Кому можно сделать официальный канал на Rutube?,УПРАВЛЕНИЕ АККАУНТОМ
Кому точно одобрят верификацию?,УПРАВЛЕНИЕ АККАУНТОМ
"Обязательно ли быть крупным блогером, чтобы пройти верификацию?",УПРАВЛЕНИЕ АККАУНТОМ
"Я могу сделать свой канал официальным, если я простой человек (у меня нет всяких пабликов, я не ИП и не ООО)?",УПРАВЛЕНИЕ АККАУНТОМ
А физикам доступна верификация на Рутуб?,УПРАВЛЕНИЕ АККАУНТОМ
"Как поменять ссылку на канал, чтобы вместо цифр был мой ник?",УПРАВЛЕНИЕ АККАУНТОМ
Я могу настроить красивую ссылку на канал?,УПРАВЛЕНИЕ АККАУНТОМ
"Не могу найти, как поменять адрес канала, чтобы было так https://rutube.ru/vasya_007?",УПРАВЛЕНИЕ АККАУНТОМ
Сколько вы будете проверять мою заявку на верификацию?,УПРАВЛЕНИЕ АККАУНТОМ
"Отправил вчера заявку на статус официального канала, а как долго ждать рассмотрения?",УПРАВЛЕНИЕ АККАУНТОМ
Кто принимает решение по заявкам на верификацию?,УПРАВЛЕНИЕ АККАУНТОМ
"Уже отправил вам заявку на получение галочки, хотел поинтересоваться, а кто ее будет проверять?",УПРАВЛЕНИЕ АККАУНТОМ
"А мне обязательно верифицировать свой канал, чтобы монетизироваться?",МОНЕТИЗАЦИЯ
"Планирую подавать на монетизацию, нужно ли мне для этого получать галочку?",МОНЕТИЗАЦИЯ
Почему мою заявку на верификацию отклонили?,УПРАВЛЕНИЕ АККАУНТОМ
"Мне отклонили заявку на галочку, что не так?",УПРАВЛЕНИЕ АККАУНТОМ
"Вы не одобрили мою заявку на статус официального канала без комментариев… хотелось бы знать, в чем причина.",УПРАВЛЕНИЕ АККАУНТОМ
"Я вам отправлял заявку на верификацию и уже две недели прошло, а ответа так и нет",УПРАВЛЕНИЕ АККАУНТОМ
"Моя заявка на верификацию где-то зависла у вас, как узнать что с ней?",УПРАВЛЕНИЕ АККАУНТОМ
"Заявка на верификацию в статусе рассмотрения уже больше 10 дней, когда ждать результат?",УПРАВЛЕНИЕ АККАУНТОМ
На рутубе есть монетизация?,МОНЕТИЗАЦИЯ
Rutub же поддерживает авторов? Я смогу получать доход за свои ролики?,МОНЕТИЗАЦИЯ
У вас можно монетизировать свои видео?,МОНЕТИЗАЦИЯ
"Я могу подключить монетизацию, если мне через месяц будет 18?",МОНЕТИЗАЦИЯ
Какие возрастные ограничения для участия в партнерской программе?,МОНЕТИЗАЦИЯ
"Я гражданин Казахстана, но у меня есть временная регистрация в Москве - смогу ли я подключить монетизацию на Рутуб?",ПРЕДЛОЖЕНИЯ
"Можно ли монетизироваться, если нет российского паспорта?",ПРЕДЛОЖЕНИЯ
"Возможно ли участвовать в партнерской программе, если зарегистрирован не в РФ?",ПРЕДЛОЖЕНИЯ
"Я не являюсь самозанятым или ИП, как мне подключиться к монетизации?",ПРЕДЛОЖЕНИЯ
"Я могу подать заявку на монетизацию, если я физ.лицо?",ПРЕДЛОЖЕНИЯ
Как физлица могут подключиться к партнерской программе Rutube?,ПРЕДЛОЖЕНИЯ
Какие вам нужно будет отправлять документы для подключения монетизации?,МОНЕТИЗАЦИЯ
Что нужно будет предоставлять для участия в партнерской программе?,МОНЕТИЗАЦИЯ
Достаточно ли паспорта для подачи заявки на монетизацию или нужны будут еще какие-то документы?,МОНЕТИЗАЦИЯ
"Нужно ли предварительно верифицировать канал, чтобы участвовать в партнерской программе?",МОНЕТИЗАЦИЯ
Для подключения монетизации не обязательно быть официальным каналом?,МОНЕТИЗАЦИЯ
Есть ли требование к верификации канала для подключения монетизации?,МОНЕТИЗАЦИЯ
"хаявку мне не одобрили, что делать как верефицировать канал?",УПРАВЛЕНИЕ АККАУНТОМ
"Не согласен с тем, что я не дали статус официального канала",УПРАВЛЕНИЕ АККАУНТОМ
"Мне не подтвердили галочку, что теперь?",УПРАВЛЕНИЕ АККАУНТОМ
Очень долго не отвечают по заявке на верефикацию?,УПРАВЛЕНИЕ АККАУНТОМ
"Я давно подал заявку на подтверждение канала, но ответа нет",УПРАВЛЕНИЕ АККАУНТОМ
"Подавал заявку на галочку, очень давно нет ответа, как постпить?",УПРАВЛЕНИЕ АККАУНТОМ
я не понимаю что за монетизация?,МОНЕТИЗАЦИЯ
Что за монитизация?,МОНЕТИЗАЦИЯ
Сколько лет нада для монетизации?,МОНЕТИЗАЦИЯ
"Здравствуйте, может ли несовершенолетний подключить монетизацию на своём rutube канале?",МОНЕТИЗАЦИЯ
Здравствуйте такой вопрос. А если я не резидент РФ как подключить монетизация. Я же не могу оформить самозанятость.  Как в таком случае действовать ,ПРЕДЛОЖЕНИЯ
"Здравствуйте. У вас обновилась монетизация, но про резидентов ничего не сказано. Подскажите, планируется ли как-то решить вопрос с возможностью подключения монетизации из других стран нерезидентов?",ПРЕДЛОЖЕНИЯ
"Здравствуйте! Скажите, пожалуйста, недавно наша команда заметила кардинально обновлённую вкладку ""Монетизация"" в Rutube Studio нашего канала и хочет поинтересоваться, сама монетизация уже работает для нерезидентов Российской Федерации, и мы уже можем зарабатывать после того, как выполним все требования для этого? На всякий случай, наша команда работает на территории Молдавии (Республики Молдова).",ПРЕДЛОЖЕНИЯ
"Добрый день! При регистрации на монетизацию у вас нет пункта физическое лицо, только предприниматели. Физику под каким статусом регистрироваться? ",ПРЕДЛОЖЕНИЯ
Добрый день. А Вы не планирует как на Дзене сделать в монетизации «Физическое лицо»? Самозанятого регистрировать крайне не удобно.,ПРЕДЛОЖЕНИЯ
"Я физическое лицо, как монетизировать свой контент?",ПРЕДЛОЖЕНИЯ
Что мне прислать чтобы получать деньги?,МОНЕТИЗАЦИЯ
"Какие надо вам документы, чтобы одобрили заявку на монетизауию?",МОНЕТИЗАЦИЯ
Пришлите список документов для подключения монетизации,МОНЕТИЗАЦИЯ
"нужна ли галочка, чтобы подключить монетизацию",МОНЕТИЗАЦИЯ
"Есть ли необходимость верефицировать свой канал, чтобы у меня была монетизация?",МОНЕТИЗАЦИЯ
Сколько обычно рассматривается заявка на монетизацию?,МОНЕТИЗАЦИЯ
Долго ждать одобрения монетизации?,МОНЕТИЗАЦИЯ
"У меня 2 аккаунта, могу монетизировать оба?",МОНЕТИЗАЦИЯ
"Хочу создать ещё один канал и монетизиравать его, так можно?",МОНЕТИЗАЦИЯ
У нашей организации несколько каналов нужно можн ли получать деньги со всех калах?,МОНЕТИЗАЦИЯ
На одного человека можно монету включить на нескольких каналах?,МОНЕТИЗАЦИЯ
Можно ли оформить монетизацию на доверенного человека?,МОНЕТИЗАЦИЯ
Могу ли я оформить монетизацию по доверенности?,МОНЕТИЗАЦИЯ
Можно ли офрмить монетизацию за доуго человка?,ПРЕДЛОЖЕНИЯ
"Мне нужно оформитьмонетизацию на другого, нужно ли переофрмлять канал?",ПРЕДЛОЖЕНИЯ
"У меня канал с реактами на чужие ролики, за них платят?",МОНЕТИЗАЦИЯ
могу лия монетизировать контетнт где я смотрю кино?,МОНЕТИЗАЦИЯ
У видео 18+ есть монетизация?,МОНЕТИЗАЦИЯ
С ограничем по возрасту могу расчитывать на монетизацию?,МОНЕТИЗАЦИЯ
"Могу ли я подключить  монетизацию, на ролики которые уже были на рутуб?",МОНЕТИЗАЦИЯ
"Если я выкладываю ролики, которые ранее были на рубубе, то я могу за них получать деньги?",МОНЕТИЗАЦИЯ
"Подключил монетизацию, с какого моента мне начнет считаться вознаграждение?",МОНЕТИЗАЦИЯ
"Я подключил монетизацию, с какого момента начнут считаться деньги?",МОНЕТИЗАЦИЯ
"Наконецто подключил монетизацию, с какого момента начнет считаться вознаграждение?",МОНЕТИЗАЦИЯ
 «Требуется дополнительная информация» для монетизации? Что ещё от меня нужно?,МОНЕТИЗАЦИЯ
"В личном кабинете есть надпись  «Требуется дополнительная информация», после подключения монетизации, что не так?",МОНЕТИЗАЦИЯ
из-за чего может быть отклонена монетизация?,МОНЕТИЗАЦИЯ
Почему по монетизации может быть отказ?,МОНЕТИЗАЦИЯ
"Здравствуйте!
Мне на почту от Вас не пришло письмо с инструкцией о том, что нужно исправить для восстановления выплат по партнерской программе. Сколько времени есть?",МОНЕТИЗАЦИЯ
"Сколько у меня есть, чтобы исправить нарушения?",МОНЕТИЗАЦИЯ
Сколько мне мдается на устранение нарушений на канале?,МОНЕТИЗАЦИЯ
"здраствуйте, отправляем Вам все лицензии на использование аудио/музыкального и иного контента, нарушения в описании группы устранены, видео с нарушениями-удалены. В ближайшее время будет отправлена повторная заявка. Сколько рассматрение?",МОНЕТИЗАЦИЯ
"Повторная проверка была отправлена,скак долго ждать??",МОНЕТИЗАЦИЯ
"Опять отправил заявку на монетизацию, сейчас сколько ждать?",МОНЕТИЗАЦИЯ
Где есть аналитика по деньгам?,МОНЕТИЗАЦИЯ
Как ине посмотреть аналитику по монетизации?,МОНЕТИЗАЦИЯ
Где у вас раздел аналититики по монеитизации?,МОНЕТИЗАЦИЯ
Сколько вы платите на 1000 просмотров?,МОНЕТИЗАЦИЯ
Сколько примерно платят за 1000 просмотров?,МОНЕТИЗАЦИЯ
"Здравствуйте, сколько платят за 1000 просмотров ? не понятно как работает монетизация да и вроде платить стали меньше, раньше как-то больше за месяц выходило около 150 рублей а сейчас по 2-3 рублям",МОНЕТИЗАЦИЯ
Добрый день не могу понят ькак вывести баланс?,МОНЕТИЗАЦИЯ
